"ID","Fecha","Concepto","Categoria","Monto","Comentario","DriveFileId","DriveLink","AdminEmail","Timestamp"
"egr-9f525ed4","29/04/2026","Pago de mix para la coreografía","Coreógrafo","18000","Pago solicitado por coreografo a la docente para cubir costo del mix","1BiTYxmW6WJjnrdlDTVzkNxjcGT2a-RE2","https://drive.google.com/file/d/1BiTYxmW6WJjnrdlDTVzkNxjcGT2a-RE2/view","2510maag@gmail.com","29/04/2026 22:18:53"
"egr-ee098f51","08/05/2026","Primer tracto de pago de vestuario para presentación artística","Vestuario","186000","El pago total se divide en 2 tractos debido al límite diario disponible para transferencias SINPE Móvil.","1HrBe27YG2OJR48wUW4kGmfqYejDQElrT","https://drive.google.com/file/d/1HrBe27YG2OJR48wUW4kGmfqYejDQElrT/view","2510maag@gmail.com","08/05/2026 21:19:06"
"egr-77f04705","09/05/2026","Segundo tracto de pago de vestuario para presentación artística","Vestuario","186000","El pago total se divide en 2 tractos debido al límite diario disponible para transferencias SINPE Móvil.","1iMXw-XpaOkyX-rXvX2tX-LfC0EUtM9oJ","https://drive.google.com/file/d/1iMXw-XpaOkyX-rXvX2tX-LfC0EUtM9oJ/view","2510maag@gmail.com","09/05/2026 9:23:43"
"egr-c04af9a0","11/05/2026","Pago Bingos","Bingo","192000","Pago total de bingos","1UJQmVCLMjHRnikIp3PvSmw3YTlemU3Ud","https://drive.google.com/file/d/1UJQmVCLMjHRnikIp3PvSmw3YTlemU3Ud/view","2510maag@gmail.com","11/05/2026 8:45:21"
"egr-c24c185d","11/05/2026","Pago de camisas festival","Camisas Festival","247000","Pago total de camisas Festival 2026 – Niños y Adultos","1SwaswwpkHBh55OhgsutJrMKje0Lhpjc7","https://drive.google.com/file/d/1SwaswwpkHBh55OhgsutJrMKje0Lhpjc7/view","2510maag@gmail.com","11/05/2026 10:02:32"
"egr-9e982bb8","12/05/2026","Compra Maquillaje","Maquillaje","19450","Compra de artículos de maquillaje para presentación artística.","1iWdkE29Q2EH54eDb62xWHG5vAd6_6mid","https://drive.google.com/file/d/1iWdkE29Q2EH54eDb62xWHG5vAd6_6mid/view","2510maag@gmail.com","12/05/2026 21:35:32"
"egr-8ef80b15","12/05/2026","Compra Hidratación","Hidratación","61800","Compra de agua embotellada, frutas y galletas para refrigerios.","1aSRT8M3H55V_9EtLmGvfYTzYbZdpBumn","https://drive.google.com/file/d/1aSRT8M3H55V_9EtLmGvfYTzYbZdpBumn/view","2510maag@gmail.com","12/05/2026 21:46:54"
"egr-eb25fdea","12/05/2026","Aporte de cuota para ventas","Cuota Ventas","61500","Aporte de cuota para ventas — Cancelado en efectivo a la institución por la familia de Valentina Aguilar. La institución no aporta recibo.","1Tvju9YJ81eqOgMV1ygOtYGaDCtyLGct3","https://drive.google.com/file/d/1Tvju9YJ81eqOgMV1ygOtYGaDCtyLGct3/view","2510maag@gmail.com","12/05/2026 22:07:42"
"egr-5573f21f","15/05/2026","Compra Adicional de Galletas","Hidratación","4400","Compra de galletas para completar refrigerios para último día de festival","1R7WQbKeu1GywI1hjjb04hPMq_J6LhokQ","https://drive.google.com/file/d/1R7WQbKeu1GywI1hjjb04hPMq_J6LhokQ/view","2510maag@gmail.com","15/05/2026 22:45:44"
"egr-241109c6","15/05/2026","Pago final coreografía","Coreógrafo","77000","Pago final por servicios de coreógrafo","14XDUVWRyJVQV49D3sOjEEGqVdexr4YrU","https://drive.google.com/file/d/14XDUVWRyJVQV49D3sOjEEGqVdexr4YrU/view","2510maag@gmail.com","15/05/2026 22:50:56"
